Morbidity Class,DL_Macro_F1_word2vec,DL_Micro_F1_word2vec,DL_Macro_F1_glove,DL_Micro_F1_glove,DL_Macro_F1_fasttext,DL_Micro_F1_fasttext,DL_Macro_F1_USE,DL_Micro_F1_USE
Asthma,0.837062937062937,0.9523809523809523,0.7832167832167831,0.9380952380952381,0.837062937062937,0.9523809523809523,0.837062937062937,0.9523809523809523
CAD,0.3510606060606061,0.5476190476190477,0.49916666666666665,0.5666666666666667,0.3510606060606061,0.5476190476190477,0.8390079365079366,0.8523809523809524
CHF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depression,0.6665501165501164,0.880952380952381,0.6557925407925407,0.85,0.6665501165501164,0.880952380952381,0.6665501165501164,0.880952380952381
Diabetes,0.3410858585858586,0.4619047619047619,0.5406349206349207,0.569047619047619,0.3410858585858586,0.4619047619047619,0.609642857142857,0.6357142857142858
Gallstones,0.6506410256410255,0.8357142857142857,0.6453379953379953,0.8214285714285714,0.655128205128205,0.85,0.655128205128205,0.85
GERD,0.6662626262626263,0.8800000000000001,0.6117171717171718,0.8633333333333333,0.6662626262626263,0.8800000000000001,0.6662626262626263,0.8800000000000001
Gout,0.7777622377622377,0.9214285714285715,0.6700699300699301,0.8928571428571429,0.7777622377622377,0.9214285714285715,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.4631060606060606,0.7266666666666667,0.5833080808080808,0.74,0.4339393939393939,0.71,0.41022727272727266,0.71
Hypertension,0.5195202020202021,0.74,0.5805555555555555,0.6733333333333332,0.44452020202020204,0.6733333333333333,0.5996212121212122,0.7133333333333334
Hypertriglyceridemia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OA,0.6110372960372961,0.8619047619047618,0.57988344988345,0.8166666666666668,0.6110372960372961,0.8619047619047618,0.6110372960372961,0.8619047619047618
Obesity,0.4044119769119769,0.5642857142857143,0.39629870129870126,0.4976190476190476,0.4203030303030303,0.5976190476190476,0.7108116883116883,0.769047619047619
OSA,0.5984265734265733,0.8238095238095238,0.49073426573426565,0.7952380952380952,0.5984265734265733,0.8238095238095238,0.5445804195804195,0.8095238095238095
PVD,0.7286713286713286,0.9214285714285715,0.7241841491841492,0.9071428571428573,0.7286713286713286,0.9214285714285715,0.7286713286713286,0.9214285714285715
Venous-Insufficiency,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668
