Morbidity Class,DL_Macro_F1_word2vec,DL_Micro_F1_word2vec,DL_Macro_F1_glove,DL_Micro_F1_glove,DL_Macro_F1_fasttext,DL_Micro_F1_fasttext,DL_Macro_F1_USE,DL_Micro_F1_USE
Asthma,0.837062937062937,0.9523809523809523,0.837062937062937,0.9523809523809523,0.837062937062937,0.9523809523809523,0.837062937062937,0.9523809523809523
CAD,0.3510606060606061,0.5476190476190477,0.6506349206349207,0.7285714285714285,0.3510606060606061,0.5476190476190477,0.3577272727272727,0.5642857142857143
CHF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depression,0.6665501165501164,0.880952380952381,0.6665501165501164,0.880952380952381,0.6665501165501164,0.880952380952381,0.6665501165501164,0.880952380952381
Diabetes,0.34941919191919196,0.47857142857142854,0.5316666666666667,0.5761904761904763,0.3202525252525253,0.4619047619047619,0.42749999999999994,0.4904761904761904
Gallstones,0.655128205128205,0.85,0.655128205128205,0.85,0.655128205128205,0.85,0.655128205128205,0.85
GERD,0.6662626262626263,0.8800000000000001,0.6662626262626263,0.8800000000000001,0.6662626262626263,0.8800000000000001,0.6662626262626263,0.8800000000000001
Gout,0.7777622377622377,0.9214285714285715,0.7777622377622377,0.9214285714285715,0.7777622377622377,0.9214285714285715,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.4647727272727272,0.7266666666666667,0.4647727272727272,0.7266666666666667,0.41022727272727266,0.71,0.4647727272727272,0.7266666666666667
Hypertension,0.5195202020202021,0.74,0.5251551226551225,0.7033333333333334,0.5195202020202021,0.74,0.5131349206349206,0.6100000000000001
Hypertriglyceridemia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OA,0.6110372960372961,0.8619047619047618,0.6110372960372961,0.8619047619047618,0.6110372960372961,0.8619047619047618,0.6110372960372961,0.8619047619047618
Obesity,0.42989177489177494,0.5952380952380952,0.3750937950937951,0.5452380952380951,0.4012554112554113,0.5809523809523809,0.34822510822510816,0.5619047619047619
OSA,0.6037296037296036,0.8380952380952381,0.6037296037296036,0.8380952380952381,0.6037296037296036,0.8380952380952381,0.6037296037296036,0.8380952380952381
PVD,0.7286713286713286,0.9214285714285715,0.7286713286713286,0.9214285714285715,0.7286713286713286,0.9214285714285715,0.7286713286713286,0.9214285714285715
Venous-Insufficiency,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668,0.890909090909091,0.9666666666666668
